%
% index = 1940, name = bbob_f008_i02_d10__bbob_f014_i04_d10
% instance = 1, reference value = 9.267911080554210e-01
% function evaluation | indicator value | target hit
1	4.686155007725207e+05	4.786300923226380e+05
2	4.204015371032883e+04	4.265795188015926e+04
3	1.786348746113454e+04	1.819700858609983e+04
17	1.667090745441343e+04	1.698243652461746e+04
21	1.667090745441343e+04	1.698243652461746e+04
%
% index = 1941, name = bbob_f008_i03_d10__bbob_f014_i05_d10
% instance = 2, reference value = 9.792770271468970e-01
% function evaluation | indicator value | target hit
1	6.468938316743923e+05	6.606934480075964e+05
2	1.520655278510189e+05	1.548816618912483e+05
3	6.019885151476889e+04	6.025595860743581e+04
8	5.326569397682301e+04	5.370317963702533e+04
11	2.665229489541685e+04	2.691534803926914e+04
21	2.665229489541685e+04	2.691534803926914e+04
%
% index = 1942, name = bbob_f008_i07_d10__bbob_f014_i08_d10
% instance = 3, reference value = 9.863352717905990e-01
% function evaluation | indicator value | target hit
1	1.016807031023667e+06	1.023292992280754e+06
2	1.229297545090522e+05	1.230268770812381e+05
3	1.074643712914168e+05	1.096478196143185e+05
11	9.396380080344004e+04	9.549925860214369e+04
15	9.122128206327792e+04	9.332543007969906e+04
17	3.747107445600514e+04	3.801893963205613e+04
21	3.747107445600514e+04	3.801893963205613e+04
%
% index = 1943, name = bbob_f008_i09_d10__bbob_f014_i10_d10
% instance = 4, reference value = 9.809043148220860e-01
% function evaluation | indicator value | target hit
1	7.983102694208792e+05	8.128305161640996e+05
2	1.354717965936450e+05	1.380384264602884e+05
3	1.178303801303906e+05	1.202264434617413e+05
4	1.009115274219355e+05	1.023292992280754e+05
6	4.512733007404167e+04	4.570881896148752e+04
21	4.512733007404167e+04	4.570881896148752e+04
%
% index = 1944, name = bbob_f008_i11_d10__bbob_f014_i12_d10
% instance = 5, reference value = 9.783956185187000e-01
% function evaluation | indicator value | target hit
1	2.933530946386087e+06	2.951209226666384e+06
2	4.293428018571680e+05	4.365158322401656e+05
5	1.840980307509776e+05	1.862087136662866e+05
21	1.840980307509776e+05	1.862087136662866e+05
%
% index = 1945, name = bbob_f008_i13_d10__bbob_f014_i14_d10
% instance = 6, reference value = 9.430600075083549e-01
% function evaluation | indicator value | target hit
1	4.157619654518066e+05	4.168693834703355e+05
2	1.158782759570701e+05	1.174897554939530e+05
4	9.313515383110441e+04	9.332543007969906e+04
5	4.984094756975268e+04	5.011872336272725e+04
18	1.890340881974817e+04	1.905460717963248e+04
21	1.890340881974817e+04	1.905460717963248e+04
%
% index = 1946, name = bbob_f008_i15_d10__bbob_f014_i16_d10
% instance = 7, reference value = 9.614993823943240e-01
% function evaluation | indicator value | target hit
1	5.815133412477596e+05	5.888436553555884e+05
2	1.454731074771058e+05	1.479108388168207e+05
4	1.375967051929531e+05	1.380384264602884e+05
5	5.712031653587318e+04	5.754399373371567e+04
6	2.445234472251192e+04	2.454708915685028e+04
21	2.445234472251192e+04	2.454708915685028e+04
%
% index = 1947, name = bbob_f008_i17_d10__bbob_f014_i18_d10
% instance = 8, reference value = 9.795156505348610e-01
% function evaluation | indicator value | target hit
1	7.906007606257475e+05	7.943282347242822e+05
2	2.768905890686261e+05	2.818382931264455e+05
4	1.878446936861093e+05	1.905460717963248e+05
6	1.533097834197576e+05	1.548816618912483e+05
8	1.034011208832563e+05	1.047128548050899e+05
14	6.838999475938795e+04	6.918309709189362e+04
17	5.305402589290185e+04	5.370317963702533e+04
21	5.305402589290185e+04	5.370317963702533e+04
%
% index = 1948, name = bbob_f008_i19_d10__bbob_f014_i21_d10
% instance = 9, reference value = 9.518090391372620e-01
% function evaluation | indicator value | target hit
1	7.745760320114702e+05	7.762471166286912e+05
2	4.339653337997514e+04	4.365158322401656e+04
9	7.684340373932195e+03	7.762471166286919e+03
21	7.684340373932195e+03	7.762471166286919e+03
%
% index = 1949, name = bbob_f008_i21_d10__bbob_f014_i22_d10
% instance = 10, reference value = 9.645350153780921e-01
% function evaluation | indicator value | target hit
1	3.913367568078460e+05	3.981071705534969e+05
2	1.208830237983358e+05	1.230268770812381e+05
3	3.293800522119358e+04	3.311311214825908e+04
7	2.190508899625883e+04	2.238721138568338e+04
21	2.190508899625883e+04	2.238721138568338e+04
