%
% index = 1680, name = bbob_f001_i02_d10__bbob_f008_i04_d10
% instance = 1, reference value = 9.448382556873570e-01
% function evaluation | indicator value | target hit
1	2.209821112181573e+05	2.238721138568338e+05
2	5.870681916651176e+04	5.888436553555884e+04
4	2.910677489309995e+04	2.951209226666384e+04
8	1.220041664252528e+04	1.230268770812381e+04
16	7.686887240480084e+03	7.762471166286919e+03
21	7.686887240480084e+03	7.762471166286919e+03
%
% index = 1681, name = bbob_f001_i03_d10__bbob_f008_i05_d10
% instance = 2, reference value = 9.546755513285230e-01
% function evaluation | indicator value | target hit
1	3.396059823446306e+05	3.467368504525317e+05
2	5.017941284781474e+04	5.128613839913648e+04
4	3.725793570481829e+04	3.801893963205613e+04
15	2.491995042031460e+04	2.511886431509582e+04
21	2.491995042031460e+04	2.511886431509582e+04
%
% index = 1682, name = bbob_f001_i07_d10__bbob_f008_i08_d10
% instance = 3, reference value = 9.514554039911129e-01
% function evaluation | indicator value | target hit
1	3.504604826201122e+05	3.548133892335753e+05
2	1.160996855359156e+05	1.174897554939530e+05
3	5.446534797034525e+04	5.495408738576248e+04
5	4.880272662555557e+04	4.897788193684466e+04
18	3.370629760995049e+04	3.388441561392028e+04
21	3.370629760995049e+04	3.388441561392028e+04
%
% index = 1683, name = bbob_f001_i09_d10__bbob_f008_i10_d10
% instance = 4, reference value = 9.365384186264680e-01
% function evaluation | indicator value | target hit
1	3.500159702793775e+05	3.548133892335753e+05
2	8.921938910145256e+04	9.120108393559097e+04
4	6.768714921395502e+04	6.918309709189362e+04
5	5.807920351910322e+04	5.888436553555884e+04
11	4.972600029398206e+04	5.011872336272725e+04
14	3.968412399072215e+04	3.981071705534969e+04
21	3.894670553939309e+04	3.981071705534969e+04
%
% index = 1684, name = bbob_f001_i11_d10__bbob_f008_i12_d10
% instance = 5, reference value = 9.416339098929180e-01
% function evaluation | indicator value | target hit
1	5.116294690294938e+05	5.128613839913648e+05
2	1.626269265143936e+05	1.659586907437560e+05
3	7.101001552996703e+04	7.244359600749906e+04
12	6.096746122939257e+04	6.165950018614822e+04
15	4.666976477143970e+04	4.677351412871981e+04
21	4.666976477143970e+04	4.677351412871981e+04
%
% index = 1685, name = bbob_f001_i13_d10__bbob_f008_i14_d10
% instance = 6, reference value = 9.529902874975780e-01
% function evaluation | indicator value | target hit
1	3.425088317689218e+06	3.467368504525317e+06
2	4.491582444907405e+05	4.570881896148752e+05
4	2.159475681492021e+05	2.187761623949552e+05
21	2.159475681492021e+05	2.187761623949552e+05
%
% index = 1686, name = bbob_f001_i15_d10__bbob_f008_i16_d10
% instance = 7, reference value = 9.632258330555430e-01
% function evaluation | indicator value | target hit
1	2.639136708279315e+06	2.691534803926914e+06
2	4.046477270267660e+05	4.073802778041131e+05
4	1.667085305989337e+05	1.698243652461746e+05
21	1.667085305989337e+05	1.698243652461746e+05
%
% index = 1687, name = bbob_f001_i17_d10__bbob_f008_i18_d10
% instance = 8, reference value = 9.480977641162630e-01
% function evaluation | indicator value | target hit
1	6.741452345655321e+05	6.760829753919819e+05
2	1.010994453707817e+05	1.023292992280754e+05
4	4.644875895183778e+04	4.677351412871981e+04
21	4.644875895183778e+04	4.677351412871981e+04
%
% index = 1688, name = bbob_f001_i19_d10__bbob_f008_i21_d10
% instance = 9, reference value = 9.428967818399560e-01
% function evaluation | indicator value | target hit
1	5.593058318274771e+05	5.623413251903491e+05
2	6.207719327998322e+04	6.309573444801930e+04
5	3.312282564880219e+04	3.388441561392028e+04
21	3.312282564880219e+04	3.388441561392028e+04
%
% index = 1689, name = bbob_f001_i21_d10__bbob_f008_i22_d10
% instance = 10, reference value = 9.261019322095920e-01
% function evaluation | indicator value | target hit
1	2.788147887567821e+05	2.818382931264455e+05
2	2.507969269066448e+04	2.511886431509582e+04
4	8.365478067132046e+03	8.511380382023768e+03
21	8.365478067132046e+03	8.511380382023768e+03
