%
% index = 3210, name = bbob_f015_i02_d40__bbob_f017_i04_d40
% instance = 1, reference value = 8.977546752218341e-01
% function evaluation | indicator value | target hit
1	2.868644751748149e+17	2.884031503126612e+17
2	1.991490925213218e+12	1.995262314968883e+12
3	3.052937026026004e+08	3.090295432513592e+08
6	2.151753148629350e+07	2.187761623949552e+07
15	3.196476870987910e+05	3.235936569296281e+05
65	1.726613099584428e+05	1.737800828749376e+05
81	1.726613099584428e+05	1.737800828749376e+05
%
% index = 3211, name = bbob_f015_i03_d40__bbob_f017_i05_d40
% instance = 2, reference value = 8.970702759221100e-01
% function evaluation | indicator value | target hit
1	2.824532639239243e+13	2.884031503126612e+13
2	5.292945034730162e+06	5.370317963702532e+06
25	9.261460842812789e+05	9.332543007969905e+05
81	9.261460842812789e+05	9.332543007969905e+05
%
% index = 3212, name = bbob_f015_i07_d40__bbob_f017_i08_d40
% instance = 3, reference value = 9.102067005067670e-01
% function evaluation | indicator value | target hit
1	9.201895416132576e+12	9.332543007969924e+12
2	3.342408514445773e+08	3.388441561392021e+08
6	1.728619567673668e+06	1.737800828749376e+06
14	8.753107922675408e+05	8.912509381337459e+05
45	1.628590248883342e+05	1.659586907437560e+05
81	1.628590248883342e+05	1.659586907437560e+05
%
% index = 3213, name = bbob_f015_i09_d40__bbob_f017_i10_d40
% instance = 4, reference value = 9.590299699295430e-01
% function evaluation | indicator value | target hit
1	1.385994834386055e+11	1.412537544622755e+11
2	4.035823657384422e+08	4.073802778041122e+08
3	5.029432121446782e+07	5.128613839913648e+07
6	3.208735380436330e+07	3.235936569296281e+07
31	2.313825393083957e+06	2.344228815319923e+06
81	2.313825393083957e+06	2.344228815319923e+06
%
% index = 3214, name = bbob_f015_i11_d40__bbob_f017_i12_d40
% instance = 5, reference value = 9.600719137520910e-01
% function evaluation | indicator value | target hit
1	2.107005035087771e+14	2.137962089502232e+14
2	7.967712945117570e+11	8.128305161640995e+11
3	8.956789296932018e+08	9.120108393559115e+08
6	4.053664101151694e+08	4.073802778041122e+08
7	1.389728973049977e+08	1.412537544622755e+08
11	3.113443492269626e+06	3.162277660168380e+06
68	5.798332184536962e+05	5.888436553555884e+05
70	3.849337722965647e+05	3.890451449942805e+05
81	3.849337722965647e+05	3.890451449942805e+05
%
% index = 3215, name = bbob_f015_i13_d40__bbob_f017_i14_d40
% instance = 6, reference value = 8.892443238404220e-01
% function evaluation | indicator value | target hit
1	6.250720186026146e+13	6.309573444801943e+13
2	2.353247244522977e+07	2.398832919019490e+07
3	9.584717128301604e+06	9.772372209558113e+06
10	4.204278952230019e+06	4.265795188015926e+06
61	3.858129663965083e+06	3.890451449942805e+06
68	1.168187669716527e+06	1.174897554939530e+06
71	1.079395037380353e+05	1.096478196143185e+05
81	1.079395037380353e+05	1.096478196143185e+05
%
% index = 3216, name = bbob_f015_i15_d40__bbob_f017_i16_d40
% instance = 7, reference value = 8.922674899225700e-01
% function evaluation | indicator value | target hit
1	1.207089797223532e+13	1.230268770812381e+13
2	1.271493210351222e+11	1.288249551693132e+11
3	4.642225308587802e+08	4.677351412871981e+08
4	5.927800620054282e+07	6.025595860743581e+07
7	1.036466617211594e+07	1.047128548050898e+07
31	2.183917265853760e+06	2.187761623949552e+06
38	7.894886894444162e+05	7.943282347242822e+05
81	7.894886894444162e+05	7.943282347242822e+05
%
% index = 3217, name = bbob_f015_i17_d40__bbob_f017_i18_d40
% instance = 8, reference value = 8.999840464953900e-01
% function evaluation | indicator value | target hit
1	1.163363036757845e+14	1.174897554939530e+14
2	5.918147539708499e+12	6.025595860743568e+12
3	4.893333994669822e+07	4.897788193684466e+07
8	4.032294359795587e+07	4.073802778041130e+07
29	2.312000556775114e+07	2.344228815319923e+07
30	1.284736524075822e+07	1.288249551693135e+07
45	2.935690563905331e+06	2.951209226666384e+06
81	2.935690563905331e+06	2.951209226666384e+06
%
% index = 3218, name = bbob_f015_i19_d40__bbob_f017_i21_d40
% instance = 9, reference value = 8.554105522202980e-01
% function evaluation | indicator value | target hit
1	8.211911101342096e+14	8.317637711026709e+14
2	1.592315676854193e+07	1.621810097358930e+07
23	4.200484407147223e+06	4.265795188015926e+06
26	1.398571959163296e+06	1.412537544622755e+06
81	1.398571959163296e+06	1.412537544622755e+06
%
% index = 3219, name = bbob_f015_i21_d40__bbob_f017_i22_d40
% instance = 10, reference value = 8.172844649118290e-01
% function evaluation | indicator value | target hit
1	3.293882979100969e+15	3.311311214825908e+15
2	3.043605766471893e+11	3.090295432513592e+11
3	1.092182438705261e+09	1.096478196143183e+09
5	6.004501833588931e+07	6.025595860743581e+07
13	3.778238026883926e+07	3.801893963205612e+07
16	1.215425786655145e+07	1.230268770812381e+07
43	2.791369509138779e+06	2.818382931264455e+06
81	2.791369509138779e+06	2.818382931264455e+06
