%
% index = 2360, name = bbob_f002_i02_d20__bbob_f017_i04_d20
% instance = 1, reference value = 9.760402749186230e-01
% function evaluation | indicator value | target hit
1	3.809454977167639e+10	3.890451449942805e+10
2	1.330825207632005e+07	1.348962882591653e+07
3	3.089251435705871e+06	3.090295432513592e+06
6	1.240303774177683e+06	1.258925411794166e+06
7	3.529025925152379e+05	3.548133892335753e+05
13	3.122344545311719e+05	3.162277660168379e+05
15	3.671177488517514e+04	3.715352290971728e+04
33	3.283381688466925e+04	3.311311214825908e+04
41	3.283381688466925e+04	3.311311214825908e+04
%
% index = 2361, name = bbob_f002_i03_d20__bbob_f017_i05_d20
% instance = 2, reference value = 9.770695731945430e-01
% function evaluation | indicator value | target hit
1	4.256772569404624e+17	4.265795188015917e+17
2	2.308171513521997e+06	2.344228815319923e+06
6	1.860922703544843e+05	1.862087136662866e+05
23	3.066028270717253e+04	3.090295432513592e+04
25	2.573983009229046e+04	2.630267991895381e+04
35	1.844639217078653e+04	1.862087136662866e+04
41	1.844639217078653e+04	1.862087136662866e+04
%
% index = 2362, name = bbob_f002_i07_d20__bbob_f017_i08_d20
% instance = 3, reference value = 9.884485199869690e-01
% function evaluation | indicator value | target hit
1	1.164793380429002e+15	1.174897554939530e+15
2	2.807675448185945e+06	2.818382931264455e+06
8	1.361695192366549e+05	1.380384264602884e+05
15	4.995616407606695e+04	5.011872336272725e+04
35	2.865113057045326e+04	2.884031503126606e+04
41	2.865113057045326e+04	2.884031503126606e+04
%
% index = 2363, name = bbob_f002_i09_d20__bbob_f017_i10_d20
% instance = 4, reference value = 9.944255810137680e-01
% function evaluation | indicator value | target hit
1	2.561112798866190e+15	2.570395782768864e+15
2	3.001529213953016e+05	3.019951720402019e+05
17	1.615534818889044e+05	1.621810097358930e+05
30	6.306316540181495e+04	6.309573444801930e+04
40	1.730988831539228e+04	1.737800828749376e+04
41	1.730988831539228e+04	1.737800828749376e+04
%
% index = 2364, name = bbob_f002_i11_d20__bbob_f017_i12_d20
% instance = 5, reference value = 9.983833096386940e-01
% function evaluation | indicator value | target hit
1	1.996847789355650e+08	2.041737944669532e+08
2	7.794096369938876e+03	7.943282347242814e+03
23	4.214219461434126e+03	4.265795188015925e+03
38	3.589784903758176e+03	3.630780547701014e+03
41	3.589784903758176e+03	3.630780547701014e+03
%
% index = 2365, name = bbob_f002_i13_d20__bbob_f017_i14_d20
% instance = 6, reference value = 9.867060625172031e-01
% function evaluation | indicator value | target hit
1	1.414222808052809e+06	1.445439770745928e+06
26	2.675516622091447e+04	2.691534803926914e+04
41	2.675516622091447e+04	2.691534803926914e+04
%
% index = 2366, name = bbob_f002_i15_d20__bbob_f017_i16_d20
% instance = 7, reference value = 9.989270589187910e-01
% function evaluation | indicator value | target hit
1	4.919003363707568e+05	5.011872336272725e+05
3	7.492524746525772e+04	7.585775750291836e+04
4	6.440165617190701e+03	6.456542290346556e+03
14	4.533826398121443e+03	4.570881896148751e+03
41	4.533826398121443e+03	4.570881896148751e+03
%
% index = 2367, name = bbob_f002_i17_d20__bbob_f017_i18_d20
% instance = 8, reference value = 9.821876031715741e-01
% function evaluation | indicator value | target hit
1	2.297174280574723e+14	2.344228815319918e+14
2	3.388864131119479e+07	3.467368504525317e+07
4	1.457419062271173e+05	1.479108388168207e+05
13	4.457992125354709e+04	4.466835921509634e+04
15	2.696938289451188e+04	2.754228703338169e+04
41	2.696938289451188e+04	2.754228703338169e+04
%
% index = 2368, name = bbob_f002_i19_d20__bbob_f017_i21_d20
% instance = 9, reference value = 9.944723787061100e-01
% function evaluation | indicator value | target hit
1	2.956839093074275e+09	3.019951720402019e+09
2	9.336711830164074e+08	9.549925860214369e+08
3	3.430072015349329e+07	3.467368504525317e+07
4	3.641165433397912e+04	3.715352290971728e+04
10	1.267568486471810e+04	1.288249551693135e+04
17	1.226568987031071e+04	1.230268770812381e+04
20	8.592058009610872e+03	8.709635899560806e+03
26	8.046394827205529e+03	8.128305161640995e+03
41	8.046394827205529e+03	8.128305161640995e+03
%
% index = 2369, name = bbob_f002_i21_d20__bbob_f017_i22_d20
% instance = 10, reference value = 9.890774311517559e-01
% function evaluation | indicator value | target hit
1	3.116704331941992e+11	3.162277660168380e+11
2	1.789567155606810e+11	1.819700858609983e+11
3	3.202322251469608e+07	3.235936569296281e+07
5	1.473244791019850e+07	1.479108388168207e+07
6	2.630062973858379e+06	2.630267991895381e+06
7	1.185371688743692e+06	1.202264434617413e+06
10	1.237935874453220e+05	1.258925411794166e+05
27	2.646723849349621e+04	2.691534803926914e+04
41	2.646723849349621e+04	2.691534803926914e+04
